Kanton,type,Total2013,Naturalizations2013,Naturalizations_percentage_2013,Naturalizations2012,Naturalizations_percentage_2012,Naturalizations2011,Naturalizations_percentage_2011,Naturalizations2010,Naturalizations_percentage_2010,Naturalizations2009,Naturalizations_percentage_2009,Naturalizations2008,Naturalizations_percentage_2008,Naturalizations2007,Naturalizations_percentage_2007,Naturalizations2006,Naturalizations_percentage_2006,Naturalizations2005,Naturalizations_percentage_2005,Naturalizations2004,Naturalizations_percentage_2004,Naturalizations2003,Naturalizations_percentage_2003,Naturalizations2002,Naturalizations_percentage_2002,Naturalizations2001,Naturalizations_percentage_2001,Naturalizations2000,Naturalizations_percentage_2000,Naturalizations1999,Naturalizations_percentage_1999,Swiss2013,Foreign2013,Foreign_percentage_2013,Swiss2012,Foreign2012,Foreign_percentage_2012,Swiss2011,Foreign2011,Foreign_percentage_2011,Swiss2010,Foreign2010,Foreign_percentage_2010,Swiss2009,Foreign2009,Foreign_percentage_2009,Swiss2008,Foreign2008,Foreign_percentage_2008,Swiss2007,Foreign2007,Foreign_percentage_2007,Swiss2006,Foreign2006,Foreign_percentage_2006,Swiss2005,Foreign2005,Foreign_percentage_2005,Swiss2004,Foreign2004,Foreign_percentage_2004,Swiss2003,Foreign2003,Foreign_percentage_2003,Swiss2002,Foreign2002,Foreign_percentage_2002,Swiss2001,Foreign2001,Foreign_percentage_2001,Swiss2000,Foreign2000,Foreign_percentage_2000,Swiss1999,Foreign1999,Foreign_percentage_1999
Aargau,3,627340,2517,1.6955889089,1916,1.3375031413,1822,1.32253241,2450,1.8283854983,2011,1.5618568311,2994,2.4148471968,2395,2.0226844697,3664,3.1749332779,1918,1.6753725476,2184,1.9408675251,2124,1.918404581,2262,2.0862154834,1280,1.2104820177,1796,1.7532556278,1325,1.3167571006,487918,148444,23.3269742694,484088,143252,22.8348264099,480532,137766,22.2814888614,477468,133998,21.9142192698,471283,128757,21.458069462,467649,123983,20.9561010899,463155,118407,20.3601679615,459409,115404,20.0767901909,454862,114482,20.1077029002,452595,112527,19.9119836071,449957,110717,19.7471257808,447356,108426,19.5087282424,444555,105743,19.2155886447,441868,102438,18.8199284961,440013,100626,18.6124197477
Zürich,4,1408575,7907,2.1877230747,8532,2.4300561374,7756,2.2664578268,10365,3.1337205259,11551,3.6075680538,11156,3.5580219745,9008,3.0042489044,11494,4.026229692,9000,3.1556249014,8209,2.9094968899,8683,3.1269469143,7801,2.8295556354,7011,2.599940666,6873,2.6126622698,5223,2.0284519218,1064112,361426,25.3536559531,1057472,351103,24.9261132705,1050188,342208,24.576916337,1042311,330757,24.0889016422,1031109,320188,23.6948650075,1019182,313545,23.5265737094,1007725,299842,22.9312914749,998574,285478,22.2325887114,987385,285205,22.4113815133,979665,282145,22.3603395123,972210,277683,22.216541736,965615,275697,22.2101292826,957271,269660,21.9784160641,948582,263065,21.7113565255,941082,257487,21.4828683205
Glarus,5,39369,77,0.8751989088,82,0.9563797527,97,1.1582089552,191,2.424781008,129,1.6944699856,215,2.8936742934,291,3.9786710418,292,3.9427491223,239,3.1472214907,158,2.033723774,173,2.2219368097,231,3.0227689087,129,1.6873773708,92,1.2049770792,96,1.250977326,30795,8798,22.2210996893,30795,8574,21.7785567325,30842,8375,21.3555345896,30731,7877,20.4025072524,30866,7613,19.7848176928,30940,7430,19.3640865259,30923,7314,19.1280696707,30678,7406,19.4464867136,30579,7594,19.8936421031,30548,7769,20.2755956886,30716,7786,20.2223261129,30680,7642,19.9415479359,30571,7645,20.0047100691,30911,7635,19.807502724,31034,7674,19.8253590989
Schaffhausen,5,77955,298,1.5334739875,251,1.3382384304,380,2.089174776,436,2.4701150076,470,2.7169200532,344,2.0221020456,322,1.9726765913,311,1.9872204473,223,1.442805383,348,2.2756997123,367,2.406557377,301,2.0078713895,384,2.6380873866,324,2.2300227132,220,1.5228075033,59350,19433,24.6664889634,59199,18756,24.0600346354,58950,18189,23.5795123089,58705,17651,23.1167164335,58358,17299,22.8650356213,58291,17012,22.5913974211,58204,16323,21.9021294296,58216,15650,21.1870143232,58308,15456,20.953310558,58496,15292,20.7242370033,58718,15250,20.6170235778,58843,14991,20.3036541431,58673,14556,19.8773709869,58776,14529,19.8199304277,59105,14447,19.6418860126
Appenzell A. Rh.,5,53438,105,1.3049962714,149,1.9014803471,145,1.8818948735,132,1.756954612,154,2.0952380952,165,2.2667948894,183,2.6296881736,226,3.4242424242,480,7.2147903202,229,3.2714285714,281,3.9494026704,255,3.5138486978,275,3.7852718513,96,1.2750697304,82,1.0836527025,45645,8046,14.985751802,45602,7836,14.6637224447,45608,7705,14.4523849718,45504,7513,14.1709263067,45693,7350,13.8566823143,45775,7279,13.7199834131,45695,6959,13.2164697839,45909,6600,12.5692738388,45908,6653,12.6576739408,45841,7000,13.2472890369,45861,7115,13.4306100876,45840,7257,13.6674388384,45873,7265,13.6719485114,45986,7529,14.0689526301,46170,7567,14.081545304
Appenzell I. Rh.,5,15717,13,0.7859733978,21,1.3291139241,28,1.7610062893,37,2.3596938776,26,1.6571064372,30,1.9169329073,19,1.2582781457,46,3.2167832168,47,3.2369146006,38,2.5991792066,46,3.1377899045,40,2.6899798252,43,2.8382838284,20,1.2836970475,27,1.7566688354,14124,1654,10.4829509444,14137,1580,10.0528090603,14153,1590,10.0997268627,14120,1568,9.9949005609,14112,1569,10.0057394299,13984,1565,10.0649559457,13961,1510,9.7601964967,13870,1430,9.3464052288,13768,1452,9.5400788436,13567,1462,9.7278594717,13544,1466,9.7668221186,13498,1487,9.9232565899,13462,1515,10.1155104494,13463,1558,10.3721456627,13409,1537,10.2836879433
St. Gallen,5,487060,1476,1.3105438402,1696,1.5478548156,1795,1.6786682877,2513,2.4038875444,1895,1.8386098363,2310,2.2830373291,2593,2.6605514,2037,2.150594396,2395,2.5562208489,1791,1.9145865626,1695,1.8297817216,1726,1.8957658301,1416,1.5801102506,1136,1.291481452,1112,1.2828943573,379074,112625,22.9052733481,377489,109571,22.4964070135,376226,106930,22.1315682719,374368,104539,21.8286640204,371609,103067,21.7131264273,369971,101181,21.4752351683,368476,97461,20.917205545,367092,94718,20.5101665187,366306,93693,20.3680877567,365276,93545,20.3881252166,364655,92634,20.2572115227,364206,91045,19.998857773,363290,89614,19.7865331284,361438,87961,19.5730297575,360930,86679,19.3648921268
Graubünden,5,193920,413,1.1964425389,487,1.4524306591,451,1.3714876536,497,1.5480936955,539,1.7424756732,576,1.9446976603,375,1.3389031705,480,1.7720677816,562,2.1086597629,1077,4.1073948362,1099,4.2593597396,529,2.1019589145,343,1.4167699298,301,1.223477766,285,1.1495643756,160440,34519,17.7057740345,160390,33530,17.2906353135,160504,32884,17.0041574451,160517,32104,16.6669262438,160928,30933,16.1226095976,160840,29619,15.5513785119,160754,28008,14.8377321707,160833,27087,14.4141123883,161151,26652,14.19146659,161591,26221,13.9613017273,161141,25802,13.80206801,160604,25167,13.547324394,161015,24210,13.0705898232,162142,24602,13.1741849805,161234,24792,13.3271693204
Thurgau,5,256213,710,1.1669186773,717,1.2304999228,728,1.3069783307,698,1.3038686418,887,1.7292470854,824,1.6523291022,929,1.9603291834,1046,2.2751495378,1054,2.3092259492,943,2.0759493671,822,1.8200739543,980,2.2222222222,440,1.0150644797,713,1.6585638187,526,1.2221189591,199434,60844,23.3765435419,197944,58269,22.7424057327,196272,55701,22.1059399221,194911,53533,21.5473104603,193511,51294,20.9530034109,191942,49869,20.6231312885,190926,47390,19.8853622921,189789,45975,19.500432636,188689,45643,19.4779202158,187553,45425,19.4975491248,186673,45163,19.4805811004,185804,44100,19.1819194098,184859,43347,18.994680245,184317,42989,18.9123912259,184245,43040,18.9365774248
Luzern,6,386082,1442,2.1420083185,1695,2.5896049134,1867,2.9106839406,1941,3.0863412307,1793,2.9394888273,1692,2.8325102536,1572,2.7449884752,1640,2.9577261578,1242,2.2662579374,1266,2.3214023764,1219,2.2495340383,1596,2.9524937102,753,1.4119102978,1254,2.4030354132,765,1.4890221115,323029,67320,17.2461054082,320628,65454,16.9533933206,317823,64143,16.7928559086,314720,62890,16.6547496094,311967,60997,16.3546615759,309007,59735,16.1996734844,306207,57268,15.7556915881,303662,55448,15.4403943082,301580,54804,15.3777947383,300195,54536,15.373903042,298986,54189,15.3433850074,297833,54056,15.3616623424,296685,53332,15.2369742041,295025,52184,15.0295643258,293981,51376,14.8762005693
Uri,6,35693,99,2.4886877828,27,0.7190412783,73,2.1007194245,53,1.5357867285,80,2.4024024024,100,3.1084861672,88,2.8890347997,57,1.9263264616,106,3.5702256652,48,1.63599182,81,2.8262386602,79,2.7612722824,64,2.3222060958,56,1.9424210891,44,1.4859844647,31887,3978,11.0915934755,31938,3755,10.520270081,31907,3475,9.8213781019,31971,3451,9.7425328892,32005,3330,9.4240837696,31945,3217,9.1490813947,31943,3046,8.7055931864,31989,2959,8.4668650567,32118,2969,8.4618234674,32149,2934,8.3630248268,32252,2866,8.1610570078,32348,2861,8.1257632992,32236,2756,7.8760859625,32363,2883,8.1796515917,32526,2961,8.3439005833
Schwyz,6,149830,532,1.7920905477,403,1.3909021882,515,1.8464737729,461,1.6861124319,593,2.2709865196,533,2.0759493671,460,1.895969005,458,1.9868986161,395,1.7423139694,120,0.5437737901,215,0.999302812,266,1.2689023518,207,1.0160007853,204,1.0354278753,126,0.6404066074,121710,29686,19.6081798727,120856,28974,19.3379163051,120013,27891,18.8575021636,119389,27341,18.6335446057,118574,26112,18.0473577264,118044,25675,17.8647221314,116762,24262,17.2041638303,115781,23051,16.6035208021,114851,22671,16.485362342,113921,22068,16.2277831295,113388,21515,15.948496327,112264,20963,15.7347985018,110890,20374,15.5213920039,110530,19702,15.1283862645,108573,19675,15.3413698459
Obwalden,6,36115,98,1.9242096996,90,1.8057784912,87,1.769731489,149,3.1276238455,131,2.9059449867,68,1.5902712816,113,2.7949542419,56,1.409159537,74,1.9654714475,99,2.6670258621,70,1.8822264049,123,3.4147695725,71,2.0039514536,38,1.0807736064,28,0.803673938,31414,5093,13.9507491714,31131,4984,13.8003599612,30969,4916,13.6993172635,30821,4764,13.3876633413,30524,4508,12.8682347568,30153,4276,12.4197624096,29954,4043,11.8922257846,29781,3974,11.7730706562,29504,3765,11.3168415041,29450,3712,11.1935347687,29423,3719,11.2214108986,29359,3602,10.9280665028,29135,3543,10.8421568027,28898,3516,10.8471648053,28741,3484,10.8114817688
Nidwalden,6,41584,74,1.3508579774,66,1.2726571539,65,1.3347022587,93,1.9910083494,118,2.6946791505,88,2.0450848245,92,2.2738507168,75,1.943508681,109,2.8973950027,130,3.478726251,154,4.189336235,94,2.555042131,75,2.0701076456,104,2.9337094499,65,1.8351214003,36410,5478,13.0777310924,36398,5186,12.4711427472,36441,4870,11.7886277263,36353,4671,11.3860179407,36415,4379,10.7344217287,36434,4303,10.5628789552,36241,4046,10.0429418919,36153,3859,9.644606618,36041,3762,9.4515488782,35760,3737,9.4614780869,35394,3676,9.4087535193,35057,3679,9.4976249484,34766,3623,9.4375993123,34455,3545,9.3289473684,34115,3542,9.4059537403
Zug,6,116575,515,1.6861473987,429,1.4564590053,437,1.5411200451,637,2.378818433,513,1.9819959046,522,2.0643018152,536,2.2336125349,494,2.2047665804,643,2.9362071327,492,2.2977769475,470,2.2676831033,448,2.2066791449,466,2.3542487623,300,1.5506280043,173,0.929208293,87575,30543,25.8580402648,87120,29455,25.2669954965,86748,28356,24.6351125938,86327,26778,23.6753459175,85007,25883,23.3411488863,85097,25287,22.908211335,85144,23997,21.9871542317,84765,22406,20.9067751537,84597,21899,20.5632136418,83832,21412,20.3451028087,82916,20726,19.9976843365,82105,20302,19.8248166629,81228,19794,19.593751856,80041,19347,19.4661327323,79140,18618,19.0449886454
Tessin,7,341652,2187,2.3175720069,1668,1.8263040336,1853,2.0974825681,1576,1.8145184503,2189,2.5650640387,2419,2.8640098506,2559,3.0908036814,1918,2.3503173786,1509,1.8650121739,1930,2.4162754304,1973,2.4863584238,2633,3.3330379635,1667,2.1130420454,2403,3.0260291395,2076,2.5844361174,252173,94366,27.2309898742,250320,91332,26.7324646131,248599,88344,26.2192715088,246898,86855,26.0237361162,250381,85339,25.4196949839,248274,84462,25.3840882862,245786,82794,25.1975165865,243245,81606,25.1210554993,241365,80911,25.1061202199,240056,79875,24.9663208629,237962,79353,25.0076422482,236259,78997,25.0580480625,233637,78891,25.2428582399,230804,79411,25.5986976774,228171,80327,26.0380942502
