ID,Rate
BS,0.9950616632
GE,2.5605357953
ZH,14.0979756415
ZG,21.8324048833
BL,29.3006430868
TG,30.3014469145
AG,30.8101363689
LU,40.3136680253
SG,44.6866884008
SO,48.3512280205
AR,53.5732245628
FR,57.7363232557
SH,64.3641394717
VD,67.5983789114
NE,69.2871962903
BE,70.338296642
SZ,73.0349546884
NW,74.0832696715
AI,123.4376980606
VS,133.339857069
TI,164.2447170448
OW,204.4429835374
JU,207.7113942402
GL,212.3304624555
UR,229.9289000418
GR,410.3467908637
